[20:48:29] [main/INFO]: ModLauncher running: args [--username, TheRealJudgeJudy, --version, forge-47.4.0, --gameDir, C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge), --assetsDir, C:\Users\ikene\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 5e213c2e758e41b0bd5900d7e8d67bde, --accessToken, ????????, --clientId, MzMzNTgwZWQtMWMwYi00Y2JhLWI2ZDgtN2FjYmU5ZTJhMTNm, --xuid, 2535428129093518, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\ikene\curseforge\minecraft\Install\quickPlay\java\1756345707710.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[20:48:29] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.15 by Microsoft; OS Windows 10 arch amd64 version 10.0
[20:48:32] [main/INFO]: Found mod file alexsdelight-1.5.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file alexsmobs-1.22.9.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file alltheleaks-1.0.2+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file almanac-1.20.x-forge-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file almostunified-forge-1.20.1-0.10.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file amendments-1.20-2.2.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file animal_feeding_trough-1.1.0+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file Apotheosis-1.20.1-7.4.8.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file ApothicAttributes-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file appleskin-forge-mc1.20.1-2.5.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file appliedenergistics2-forge-15.4.8.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file architectury-9.2.14-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file artifacts-forge-9.5.16.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file athena-forge-1.20.1-3.1.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file AttributeFix-Forge-1.20.1-21.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file badpackets-forge-0.4.3.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.34-all.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file bellsandwhistles-0.4.5-1.20.x-Create6.0+.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file betterchunkloading-1.20.1-5.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file BetterCompatibilityChecker-forge-4.0.8+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file betterfpsdist-1.20.1-6.0.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file BetterThanMending-1.7.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file BiomesOPlenty-1.20.1-18.0.0.592.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file blockui-1.20.1-1.0.193.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file caelus-forge-3.2.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file carryon-forge-1.20.1-2.1.2.7.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file chefs-delight-1.0.3-forge-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file chipped-forge-1.20.1-3.0.7.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file citadel-2.6.2-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file cleanswing-1.20-1.8.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file clientsort-forge-1.3.3+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file cluttered-2.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file CodeChickenLib-1.20.1-4.4.0.516-universal.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file cofh_core-1.20.1-11.0.2.56.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file collective-1.20.1-8.3.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file comforts-forge-6.4.0+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file configured-forge-1.20.1-2.2.3.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file Connectible Chains-forge-1.20.1-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file constructionwand-1.20.1-2.11.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file Corgilib-Forge-1.20.1-4.0.3.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file coroutil-forge-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file CraftTweaker-forge-1.20.1-14.0.59.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file crashutilities-8.1.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file cratedelight-25.08.08-1.20-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file cratedelightcroptopia-24.12.27-1.20-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file create-1.20.1-6.0.6.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file create-stuff-additions1.20.1_v2.1.0.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file create_ad_astra_compat-forge-1.20.1-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file create_central_kitchen-1.20.1-for-create-6.0.4-1.4.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file create_enchantment_industry-1.3.3-for-create-6.0.6.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file create_misc_and_things_ 1.20.1_4.0A.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file create_oxidized-0.1.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file create_recycle_1.0.2_forge_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file create_waystones_recipes-1.0.1.b.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file createaddition-1.20.1-1.3.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file createaddoncompatibility-0.2.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file createbetterfps-1.20.1-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file createdeco-2.0.3-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file createoreexcavation-1.20-1.6.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file cristellib-1.1.6-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file Croptopia-1.20.1-FORGE-3.0.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file croptopiadelight-1.3.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file curios-forge-5.14.1+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file Data_Anchor-forge-1.20.1-1.0.0.19.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file decorative_blocks-forge-1.20.1-4.1.3.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file deeperdarker-forge-1.20.1-1.3.3.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file DiagonalFences-v8.1.5-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file DiagonalWalls-v8.0.4-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file DiagonalWindows-v8.1.5-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file domum_ornamentum-1.20.1-1.0.186-RELEASE-universal.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file drippyloadingscreen_forge_3.0.12_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file DustyDecorations_1.20.1Forge_V1.8.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file DynamicTrees-1.20.1-1.4.5.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file EasyAnvils-v8.0.2-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file EasyMagic-v8.0.1-1.20.1-Forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file elytraslot-forge-6.4.4+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file emi-1.1.22+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file emi_enchanting-0.1.2+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file emi_loot-0.7.6+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file emi_ores-1.2+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file emiffect-forge-1.1.2+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file EMIProfessions-forge-1.20.1-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file emitrades-forge-1.2.1+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.20.1-17.1.19.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file EnderStorage-1.20.1-2.11.0.188-universal.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file ends_delight-1.20.1-2.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file Enhanced-Celestials-forge-1.20.1-5.0.3.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file entity_model_features_1.20.1-forge-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file entity_texture_features_1.20.1-forge-7.0.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file entityculling-forge-1.8.2-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file EpheroLib-1.20.1-FORGE-1.2.0.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file everycomp-1.20-2.9.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file experienced_crops-1.20.1-1.1.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file fallingleaves-1.20.1-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file fallingtrees-forge-mc1.20-0.13.2-SNAPSHOT.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file fancymenu_forge_3.7.0_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file farmers_croptopia-1.20.1-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.9.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file farmersrespite-1.20.1-2.1.2.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file FarmersStructures-1.0.3-1.20.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file fast-ip-ping-v1.0.7-mc1.20.4-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file fastasyncworldsave-1.20.1-2.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file framework-forge-1.20.1-0.7.15.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file ftb-chunks-forge-2001.3.6.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file ftb-essentials-forge-2001.2.3.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file ftb-library-forge-2001.2.10.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file ftb-quests-forge-2001.4.14.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file ftb-teams-forge-2001.3.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file ftb-ultimine-forge-2001.1.7.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file fzzy_config-0.7.2+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.7.4.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file GeckoLibOculusCompat-Forge-1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file GlitchCore-forge-1.20.1-0.0.1.1.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file goblintraders-forge-1.20.1-1.11.5.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
[20:48:32] [main/INFO]: Found mod file gpumemleakfix-1.20.1-1.8.jar of type MOD with provider {mods folder locator at C:\Users\ikene\curseforge\minecraft\Instances\Homesteady (Forge)\mods}
